,Loan_ID,agg_clusters_with_cat_num,Cluster_agg_pc_mc,db_with_ecod_num_cat,db_with_pca_mca
0,10042521,1,0,-1,-1
1,10006766,1,1,-1,-1
2,10026970,1,0,-1,-1
3,10107525,1,1,-1,-1
4,10024696,1,1,-1,-1
5,10195200,0,0,-1,-1
6,10032794,1,1,-1,-1
7,10102272,0,1,-1,-1
8,10055493,1,1,-1,-1
9,10016403,1,1,-1,-1
10,10132561,1,1,-1,-1
11,10246647,0,0,-1,-1
12,10153121,1,0,-1,-1
13,10068969,1,1,-1,-1
14,10058636,1,0,-1,-1
15,10137980,1,1,-1,-1
16,10220764,1,1,-1,-1
17,10149251,1,1,-1,-1
18,10010289,0,0,-1,-1
19,10111099,1,1,-1,-1
20,10026404,1,0,-1,-1
21,10046387,1,0,-1,-1
22,10125107,0,0,-1,-1
23,10081929,1,1,-1,-1
24,10257349,1,0,-1,-1
25,10077831,1,1,-1,-1
26,10095508,1,0,-1,-1
27,10270924,1,1,-1,-1
28,10264659,1,0,-1,-1
29,10181463,1,0,-1,-1
30,10036512,1,0,-1,-1
31,10037594,1,1,-1,-1
32,10005441,1,0,-1,-1
33,10234426,1,1,-1,-1
34,10097931,1,1,-1,-1
35,10258825,1,0,-1,-1
36,10230985,1,0,-1,-1
37,10176175,0,0,-1,-1
38,10172787,1,0,-1,-1
39,10148080,1,1,-1,-1
40,10078058,1,1,-1,-1
41,10230683,1,0,-1,-1
42,10043907,1,1,-1,-1
43,10157067,1,0,-1,-1
44,10226000,1,1,-1,-1
45,10197927,1,0,-1,-1
46,10060594,1,0,-1,-1
47,10213310,1,0,-1,-1
48,10150581,1,1,-1,-1
49,10199875,0,0,-1,-1
50,10057045,1,0,-1,-1
51,10201822,1,1,-1,-1
52,10102744,0,0,-1,-1
53,10122228,1,1,-1,-1
54,10264870,0,1,-1,-1
55,10210716,1,0,-1,-1
56,10117288,1,0,-1,-1
57,10170703,1,1,-1,-1
58,10167206,1,1,-1,-1
59,10100369,1,0,-1,-1
60,10200581,1,0,-1,-1
61,10215819,1,0,-1,-1
62,10140913,1,1,-1,-1
63,10039135,0,0,-1,-1
64,10247420,1,1,-1,-1
65,10153132,1,1,-1,-1
66,10090337,1,0,-1,-1
67,10124954,1,0,-1,-1
68,10028684,1,1,-1,-1
69,10062359,1,1,-1,-1
70,10237064,1,1,-1,-1
71,10170022,1,0,-1,-1
72,10184074,1,1,-1,-1
73,10019227,1,0,-1,-1
74,10082351,1,1,-1,-1
75,10038557,1,0,-1,-1
76,10028090,1,0,-1,-1
77,10018872,1,0,-1,-1
78,10214472,1,1,-1,-1
79,10250872,1,0,-1,-1
80,10195913,1,1,-1,-1
81,10177133,0,0,-1,-1
82,10213593,1,1,-1,-1
83,10014149,1,1,-1,-1
84,10127574,1,0,-1,-1
85,10064919,1,1,-1,-1
86,10008243,1,1,-1,-1
87,10249221,0,0,-1,-1
88,10007519,1,0,-1,-1
89,10030898,1,1,-1,-1
90,10273740,1,1,-1,-1
91,10019855,1,0,-1,-1
92,10148641,1,0,-1,-1
93,10209451,1,1,-1,-1
