,Loan_Amount_Requested,Length_Employed,Home_Owner,Annual_Income,Income_Verified,Purpose_Of_Loan,Debt_To_Income,Inquiries_Last_6Mo,Months_Since_Deliquency,Number_Open_Accounts,Total_Accounts,Gender,Length_Employed_10+ years,Length_Employed_2 years,Length_Employed_3 years,Length_Employed_4 years,Length_Employed_5 years,Length_Employed_6 years,Length_Employed_7 years,Length_Employed_8 years,Length_Employed_9 years,Length_Employed_< 1 year,Home_Owner_None,Home_Owner_Other,Home_Owner_Own,Home_Owner_Rent,Income_Verified_VERIFIED - income source,Income_Verified_not verified,Purpose_Of_Loan_credit_card,Purpose_Of_Loan_debt_consolidation,Purpose_Of_Loan_educational,Purpose_Of_Loan_home_improvement,Purpose_Of_Loan_house,Purpose_Of_Loan_major_purchase,Purpose_Of_Loan_medical,Purpose_Of_Loan_moving,Purpose_Of_Loan_other,Purpose_Of_Loan_renewable_energy,Purpose_Of_Loan_small_business,Purpose_Of_Loan_vacation,Purpose_Of_Loan_wedding,Gender_Male
0,16000.0,2 years,Mortgage,100000.0,not verified,debt_consolidation,6.92,3,12.0,10,20,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3475.0,10+ years,Rent,40000.0,not verified,other,13.92,1,7.0,7,11,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,24000.0,8 years,Mortgage,70000.0,VERIFIED - income source,credit_card,30.45,0,7.0,22,29,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,10000.0,10+ years,Mortgage,87000.0,VERIFIED - income source,debt_consolidation,13.88,1,22.0,8,11,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,4400.0,2 years,Rent,50000.0,VERIFIED - income source,credit_card,16.46,0,32.0,11,15,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,15000.0,8 years,Rent,150000.0,VERIFIED - income,debt_consolidation,12.03,0,38.0,21,37,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,12000.0,10+ years,Rent,53000.0,VERIFIED - income source,debt_consolidation,10.33,1,18.0,8,26,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,12000.0,3 years,Mortgage,150000.0,not verified,debt_consolidation,8.9,2,12.0,8,21,Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,2200.0,5 years,Own,50000.0,VERIFIED - income source,credit_card,6.26,0,65.0,8,21,Male,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,15000.0,8 years,Mortgage,73000.0,VERIFIED - income,debt_consolidation,21.24,0,12.0,6,10,Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,16000.0,6 years,Mortgage,90000.0,VERIFIED - income source,debt_consolidation,9.0,1,25.0,14,36,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11,20000.0,1 year,Mortgage,119000.0,VERIFIED - income,debt_consolidation,19.8,4,11.0,11,23,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12,19000.0,10+ years,Mortgage,95000.0,not verified,debt_consolidation,24.73,0,39.0,15,27,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,10000.0,8 years,Mortgage,55000.0,VERIFIED - income source,debt_consolidation,27.01,0,69.0,11,24,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,21725.0,10+ years,Mortgage,100000.0,VERIFIED - income,debt_consolidation,23.86,2,56.0,11,26,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,14250.0,9 years,Rent,34000.0,VERIFIED - income,credit_card,9.99,1,27.0,7,13,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10000.0,2 years,Mortgage,36400.0,VERIFIED - income,debt_consolidation,2.47,0,47.0,8,16,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17,12000.0,10+ years,Rent,30000.0,VERIFIED - income source,debt_consolidation,33.8,0,50.0,9,16,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,12000.0,6 years,Own,150000.0,not verified,home_improvement,3.51,0,77.0,11,39,Female,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,8000.0,2 years,Rent,73000.0,not verified,debt_consolidation,29.94,0,45.0,8,25,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,22000.0,< 1 year,Mortgage,90000.0,VERIFIED - income,debt_consolidation,5.68,1,28.0,6,17,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,6000.0,< 1 year,Rent,25000.0,VERIFIED - income source,credit_card,25.44,0,19.0,19,32,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,30000.0,10+ years,Rent,110000.0,VERIFIED - income,debt_consolidation,10.54,0,3.0,18,31,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23,10000.0,10+ years,Mortgage,48000.0,VERIFIED - income source,debt_consolidation,7.08,1,31.0,8,32,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,20000.0,3 years,Mortgage,73000.0,VERIFIED - income source,debt_consolidation,18.34,0,39.0,15,42,Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,7125.0,5 years,Rent,46000.0,VERIFIED - income,debt_consolidation,18.86,0,46.0,10,24,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
