,Loan_ID,cluster_Kmeans_base
0,10263522,0
1,10225390,0
2,10144124,0
3,10177945,1
4,10215321,1
5,10267368,1
6,10020197,1
7,10023060,1
8,10048978,0
9,10236437,1
10,10265106,1
11,10258031,0
12,10187909,0
13,10172139,0
14,10118587,0
15,10125514,1
16,10001983,1
17,10034737,0
18,10147624,1
19,10133822,1
20,10135527,1
21,10192309,0
22,10201381,0
23,10002948,0
24,10272870,0
25,10056777,0
26,10115594,1
27,10255602,0
28,10228001,1
29,10188607,1
30,10258352,1
31,10144589,1
32,10251265,1
33,10006866,1
34,10030299,0
35,10065354,1
36,10064170,1
37,10167212,1
38,10072681,0
39,10153054,1
40,10115218,0
41,10236559,1
42,10079880,0
43,10145450,1
44,10081234,0
45,10101155,0
46,10129866,1
47,10084093,1
48,10033690,0
49,10244513,1
50,10143824,1
51,10008272,0
52,10265045,0
53,10022048,1
54,10102426,1
55,10257080,0
56,10042091,1
57,10238439,0
58,10031429,1
59,10068082,1
60,10268580,1
61,10230022,0
62,10121461,0
63,10250568,0
64,10164928,1
65,10154664,0
66,10267693,1
67,10224828,1
68,10217098,0
69,10150182,1
70,10168616,0
71,10206467,1
72,10160086,1
73,10197489,1
74,10145993,0
75,10034164,0
76,10030387,1
77,10178102,1
78,10140486,1
79,10103889,0
80,10198634,0
81,10132297,1
82,10205138,1
83,10250475,1
84,10190584,0
85,10217647,1
86,10205699,1
87,10030736,0
88,10178848,1
89,10270046,0
90,10150817,1
91,10083211,0
92,10066080,1
93,10079217,1
94,10014317,1
95,10093871,1
96,10264767,1
97,10131973,1
98,10047121,1
99,10186256,0
100,10023732,1
101,10204675,1
102,10211577,0
103,10252904,1
104,10019477,1
105,10153782,1
106,10086069,0
107,10066071,1
108,10040097,1
109,10054191,1
110,10237807,0
111,10177833,1
112,10263174,1
113,10261131,1
114,10130914,0
115,10001728,0
116,10162384,0
117,10056315,1
118,10168004,1
119,10075144,1
120,10237188,1
121,10177337,0
122,10233801,1
123,10036224,0
124,10055922,1
125,10128609,1
126,10027947,1
127,10270945,1
128,10204314,0
129,10030482,0
130,10147659,1
131,10270018,0
132,10233480,1
133,10204779,1
134,10066151,1
135,10050647,0
136,10236958,1
137,10164118,0
138,10007226,1
139,10271636,1
140,10033557,1
141,10138398,0
142,10157319,1
143,10014446,0
144,10125303,1
145,10044808,1
146,10069824,1
147,10211318,0
148,10222310,1
149,10066034,1
150,10180043,0
151,10157957,0
152,10020332,1
153,10014917,1
154,10266473,1
155,10129201,0
156,10067344,0
157,10189117,0
158,10181055,0
159,10038411,1
160,10013585,1
161,10026930,1
162,10081828,1
163,10218304,1
164,10162649,1
165,10005491,0
166,10059125,0
167,10242791,1
168,10031746,1
169,10124472,1
170,10241535,1
171,10113323,0
172,10003452,0
173,10141778,1
174,10024380,1
175,10033992,0
176,10142353,0
177,10086499,0
178,10134744,0
179,10105875,1
180,10041436,0
181,10254483,1
182,10037086,1
183,10009169,1
184,10160713,0
185,10131044,1
186,10209916,1
187,10139404,1
188,10031557,0
189,10212503,1
190,10032607,1
191,10091723,1
192,10053386,0
193,10220358,0
194,10206527,0
195,10258224,1
196,10180551,1
197,10221332,0
198,10100684,0
199,10257713,1
200,10133091,0
201,10009603,0
202,10055824,1
203,10011890,1
204,10241623,0
205,10236153,0
206,10163942,1
207,10209061,0
208,10156608,0
209,10255322,0
210,10172801,0
211,10006743,1
212,10138416,1
213,10093631,1
214,10170981,1
215,10195635,0
216,10217135,1
217,10272725,1
218,10119224,1
219,10115700,1
220,10063387,1
221,10021386,1
222,10128681,0
223,10244784,1
224,10165090,1
225,10070457,0
226,10268780,1
227,10234725,0
228,10020727,1
229,10187559,1
230,10072461,1
231,10021107,0
232,10172956,1
233,10167178,1
234,10117827,0
235,10034680,1
236,10009306,0
237,10134439,0
238,10031242,1
239,10205409,0
240,10178010,1
241,10179125,1
242,10051864,0
243,10073762,0
244,10055979,0
245,10210596,0
246,10128055,1
247,10097254,0
248,10242749,0
249,10151350,1
250,10115426,0
251,10100925,1
252,10040763,1
253,10155335,1
254,10021298,0
255,10002482,1
256,10142262,1
257,10200556,0
258,10133739,0
259,10087786,1
260,10014902,0
261,10243581,1
262,10246924,1
263,10006249,0
264,10018483,1
265,10107923,0
266,10271013,1
267,10159594,1
268,10253840,0
269,10263006,1
270,10003573,1
271,10136105,0
272,10112214,1
273,10031353,0
274,10080323,0
275,10020968,1
276,10090155,1
277,10037010,1
278,10034074,1
279,10219482,0
280,10084042,0
281,10156508,1
282,10148756,1
283,10124637,1
284,10238478,1
285,10237657,0
286,10246409,0
287,10074868,1
288,10049154,0
289,10202582,1
290,10157207,1
291,10126657,1
292,10086426,0
293,10158654,1
294,10016144,1
295,10006578,1
296,10126015,0
297,10071554,0
298,10086099,0
299,10071266,1
300,10012213,1
301,10043172,1
302,10168147,0
303,10170466,0
304,10197711,1
305,10237984,1
306,10051599,1
307,10091820,1
308,10167579,1
309,10051580,1
310,10077778,0
311,10052382,0
312,10004346,1
313,10155923,1
314,10159411,0
315,10161756,1
316,10191269,0
317,10068062,1
318,10041107,1
319,10109204,1
320,10041911,1
321,10006712,1
322,10155021,1
323,10126940,0
324,10234065,1
325,10015884,0
326,10058906,0
327,10048128,1
328,10123105,1
329,10186996,0
330,10000160,1
331,10154245,1
332,10184181,0
333,10016872,1
334,10167282,0
335,10021877,1
336,10163149,0
337,10181840,1
338,10021902,0
339,10026727,1
340,10246756,1
341,10077594,1
342,10257069,0
343,10260583,0
344,10091103,1
345,10224926,0
