,Loan_ID,cluster_Kmeans_outlier_removed,Kmeans_pca_clusters,Kmeans_pca_pipeline_clusters,KPrototypes_with_org_feat,KPrototypes_with_encode_feat,Kmeans_pca_mca
0,10190268,1,1,1,1,1,1
1,10193133,0,1,1,1,1,1
2,10151290,1,0,0,1,1,0
3,10214563,1,0,0,1,1,0
4,10037396,1,0,0,1,1,0
5,10133047,0,1,1,1,1,1
6,10269413,0,0,1,1,1,0
7,10155300,1,0,1,1,1,0
8,10031070,1,0,1,1,1,0
9,10107761,0,1,1,1,1,1
10,10070397,1,1,0,1,1,1
11,10211743,0,1,0,0,0,1
12,10269601,1,0,1,1,1,0
13,10198266,0,0,0,1,1,0
14,10038764,1,1,0,1,1,1
15,10055781,1,1,1,1,1,1
16,10115938,1,1,0,1,1,1
17,10174892,1,0,1,1,1,0
18,10019660,0,0,0,1,1,0
19,10222453,1,1,1,1,1,1
20,10035532,0,0,0,1,1,0
21,10159853,1,1,0,1,1,1
22,10091978,0,1,1,1,1,1
23,10249114,1,1,0,1,1,1
24,10124517,1,1,1,1,1,1
25,10137565,0,1,1,1,1,1
26,10250366,1,0,1,1,1,0
27,10217264,0,1,0,1,1,1
28,10159551,0,1,1,1,1,1
29,10091179,1,1,1,1,1,1
30,10057775,1,1,0,1,1,1
31,10117978,1,1,1,1,1,1
32,10142374,1,1,0,1,1,1
33,10140281,0,0,0,0,0,0
34,10004128,1,1,0,1,1,1
35,10125552,1,1,0,1,1,1
36,10041018,1,1,0,1,1,1
37,10262332,0,1,1,1,1,1
38,10125493,1,1,1,1,1,1
39,10077733,1,0,1,1,1,0
40,10211135,0,1,1,1,1,1
41,10166831,1,0,0,1,1,0
42,10112262,0,1,0,1,1,1
43,10149975,1,0,0,0,0,0
44,10196490,0,1,0,1,1,1
45,10079465,1,1,0,1,1,1
46,10153310,0,1,0,1,1,1
47,10081100,1,1,0,0,0,1
48,10217771,0,1,0,1,1,1
49,10043214,1,1,1,1,1,1
50,10211534,0,0,1,1,1,0
51,10072197,0,1,0,1,1,1
52,10073668,0,1,0,1,1,1
53,10187337,0,0,0,1,1,0
54,10097878,0,0,0,0,0,0
55,10151942,0,1,0,1,1,1
56,10118535,0,0,1,1,1,0
57,10141684,0,1,1,1,1,1
58,10268975,1,1,1,1,1,1
59,10160520,1,0,0,1,1,0
60,10221382,0,1,1,1,1,1
61,10188721,0,1,0,1,1,1
62,10256342,1,0,0,0,0,0
63,10194072,1,0,0,1,1,0
64,10064514,1,0,1,1,1,0
65,10166756,1,0,0,1,1,0
66,10124849,1,0,0,1,1,0
67,10263935,1,0,0,0,0,0
68,10017152,0,1,0,1,1,1
69,10072611,1,1,0,1,1,1
70,10177785,1,1,0,1,1,1
71,10146790,1,0,0,1,1,0
72,10261808,0,1,1,1,1,1
73,10104093,0,1,0,1,1,1
74,10225081,1,0,0,1,1,0
75,10121008,0,1,0,1,1,1
76,10137089,0,0,0,0,0,0
77,10038068,1,1,0,1,1,1
78,10134539,0,1,1,1,1,1
79,10008578,1,1,0,1,1,1
80,10215415,0,1,0,1,1,1
81,10080443,1,1,0,1,1,1
82,10032862,0,1,0,1,1,1
83,10269081,1,0,0,1,1,1
84,10010203,0,0,0,1,1,0
85,10020861,1,1,1,1,1,1
86,10105043,1,0,0,0,0,0
87,10202348,0,0,0,1,1,0
88,10213803,0,1,0,1,1,1
89,10078685,0,0,0,1,1,0
90,10078976,1,1,1,1,1,1
91,10163071,1,0,0,1,1,0
92,10260159,1,1,0,1,1,1
93,10036958,1,1,0,1,1,1
94,10208785,0,1,1,1,1,1
95,10064657,0,1,1,0,0,1
96,10172128,1,0,0,1,1,0
97,10225228,0,1,0,1,1,1
98,10055947,0,0,0,1,1,0
99,10161970,0,1,0,1,1,1
100,10125625,1,1,1,1,1,1
101,10272252,1,1,1,1,1,1
102,10048545,1,1,0,1,1,1
103,10131899,1,1,0,1,1,1
104,10222099,1,1,0,1,1,1
105,10132777,0,1,0,1,1,1
106,10018942,0,1,0,1,1,1
107,10146436,1,1,0,1,1,1
108,10034724,0,1,0,1,1,1
109,10253182,0,1,1,1,1,1
110,10047628,1,0,1,1,1,0
111,10161037,1,0,1,1,1,0
112,10196478,1,1,1,1,1,1
113,10047665,1,1,0,1,1,1
114,10238737,1,0,0,1,1,0
115,10097775,1,1,1,1,1,1
116,10252766,1,0,1,0,0,0
117,10105380,0,0,1,0,0,0
118,10032858,1,1,0,1,1,1
119,10223863,0,1,0,1,1,1
120,10141865,1,1,0,1,1,1
121,10169239,0,0,0,1,1,0
122,10258742,0,0,0,1,1,0
123,10021666,0,0,0,1,1,0
124,10001593,1,0,1,1,1,0
125,10078156,0,1,0,1,1,1
126,10172817,0,0,0,1,1,0
127,10263857,1,1,0,1,1,1
128,10063325,0,0,1,1,1,0
129,10230663,1,0,0,1,1,0
130,10119918,1,1,0,1,1,1
131,10233982,1,0,1,0,0,0
132,10102800,1,1,1,1,1,1
133,10104942,1,1,1,1,1,1
134,10128199,0,0,0,1,1,0
135,10071012,1,1,1,1,1,1
136,10185263,0,1,0,1,1,1
137,10070672,1,1,0,1,1,1
138,10057254,0,0,0,0,0,0
139,10016036,1,1,0,1,1,1
140,10099197,0,0,1,1,1,0
141,10052762,1,0,1,1,1,0
142,10144542,1,1,0,1,1,1
143,10269825,0,1,0,1,1,1
144,10179952,1,1,0,1,1,1
145,10269954,1,1,0,1,1,1
146,10174579,0,1,0,1,1,1
147,10085521,1,0,0,1,1,0
148,10177183,1,1,0,1,1,1
149,10118017,0,0,1,1,1,0
150,10009676,0,1,0,1,1,1
151,10150051,1,1,0,1,1,1
152,10075798,1,1,0,1,1,1
153,10102195,1,0,1,1,1,0
154,10137444,0,0,0,1,1,0
155,10034834,1,0,0,1,1,1
156,10199966,1,0,0,1,1,0
157,10156980,1,1,0,1,1,1
158,10168174,0,0,1,1,1,0
159,10218881,1,1,1,1,1,1
160,10199911,1,1,0,1,1,1
161,10109987,1,1,0,1,1,1
162,10252619,1,1,1,0,0,1
163,10003760,1,1,0,1,1,1
164,10161213,0,1,0,1,1,1
165,10212506,0,0,0,1,1,0
166,10002027,1,1,1,1,1,1
167,10013854,1,1,1,1,1,1
168,10018235,1,0,1,1,1,0
169,10271062,0,1,0,0,0,1
170,10094266,1,0,0,1,1,0
171,10180684,0,1,0,1,1,1
172,10253554,1,0,0,1,1,0
173,10081996,0,0,0,1,1,0
174,10094054,0,1,0,1,1,1
175,10115223,1,1,0,1,1,1
176,10000628,0,1,0,1,1,1
177,10003571,0,0,0,1,1,0
178,10152854,0,1,0,1,1,1
179,10143572,0,1,0,1,1,1
180,10154973,0,0,0,1,1,0
181,10121370,0,1,0,1,1,1
182,10004910,1,0,0,1,1,0
183,10075160,1,0,0,1,1,0
184,10099775,0,1,1,1,1,1
185,10169946,1,1,1,1,1,1
186,10094532,1,0,0,1,1,0
187,10209685,0,0,0,1,1,0
188,10190463,1,0,0,1,1,0
189,10173871,0,1,1,1,1,1
190,10085187,1,1,1,1,1,1
191,10239772,1,0,1,1,1,0
192,10210093,0,1,0,1,1,1
193,10036899,0,1,0,1,1,1
194,10194657,1,1,1,1,1,1
195,10149587,0,1,0,1,1,1
196,10125312,0,1,0,1,1,1
197,10167167,0,0,1,0,0,0
198,10234416,0,1,1,1,1,1
199,10136715,1,0,0,1,1,0
200,10205422,1,0,0,1,1,0
201,10070770,1,1,1,1,1,1
202,10059990,1,1,1,1,1,1
203,10262067,1,1,1,1,1,1
204,10138006,1,0,1,1,1,0
205,10201183,1,1,0,1,1,1
206,10009726,1,1,0,1,1,1
207,10249475,0,1,0,1,1,1
208,10206472,0,1,0,1,1,1
209,10032692,1,0,0,0,0,0
210,10156744,1,0,0,1,1,0
211,10172976,0,0,0,1,1,0
212,10027043,1,1,0,0,0,1
213,10154529,1,1,0,1,1,1
214,10057536,1,1,0,1,1,1
215,10113432,1,1,0,1,1,1
216,10214547,0,0,1,0,0,0
217,10208592,1,0,0,1,1,0
218,10082740,1,0,0,1,1,0
219,10081915,1,1,0,1,1,1
220,10254009,0,1,0,1,1,1
221,10252751,0,1,0,0,0,1
222,10097605,1,1,1,1,1,1
223,10210554,1,0,0,1,1,0
224,10203629,1,0,0,1,1,1
225,10173937,1,1,1,1,1,1
226,10017935,1,1,1,1,1,1
227,10032141,1,0,0,1,1,0
228,10158222,1,0,0,1,1,0
229,10205102,1,1,0,1,1,1
230,10251801,1,1,0,1,1,1
231,10181943,1,1,1,1,1,1
232,10221202,1,1,0,1,1,1
233,10032771,0,1,1,1,1,1
234,10027492,1,1,1,1,1,1
235,10178629,1,0,0,0,0,0
236,10086090,1,0,1,1,1,0
237,10046303,1,1,0,1,1,1
238,10198966,1,1,0,1,1,1
239,10050744,1,1,0,1,1,1
240,10073656,0,1,1,0,0,1
241,10145833,1,1,0,0,0,1
242,10003981,0,0,0,1,1,0
243,10152576,1,1,0,1,1,1
244,10215237,0,0,0,1,1,0
245,10123716,0,1,0,1,1,1
246,10093200,1,1,0,1,1,1
247,10101861,1,0,0,1,1,0
248,10041413,1,0,1,1,1,0
249,10048301,1,0,1,1,1,0
250,10037265,1,1,0,0,0,1
251,10020545,1,0,0,1,1,0
252,10262731,1,0,0,1,1,0
253,10197973,0,1,1,1,1,1
254,10061841,1,1,1,1,1,1
255,10111013,1,1,0,1,1,1
256,10108535,1,1,0,1,1,1
257,10142896,1,1,0,1,1,1
258,10032084,0,1,0,1,1,1
259,10272524,0,1,0,1,1,1
260,10259704,1,1,0,1,1,1
261,10021773,0,0,0,1,1,0
262,10127047,1,1,0,1,1,1
263,10179110,1,0,0,1,1,0
264,10261747,1,1,0,1,1,1
265,10161630,0,1,1,1,1,1
266,10086371,1,0,0,1,1,0
267,10199913,0,0,0,0,0,0
268,10003825,1,1,1,1,1,1
269,10266739,1,0,0,1,1,0
270,10006794,1,0,1,1,1,0
271,10014995,0,1,1,1,1,1
272,10179278,1,1,1,1,1,1
273,10241910,1,0,1,0,0,0
274,10227095,0,1,0,1,1,1
275,10215903,1,0,0,0,0,0
276,10253073,1,0,0,1,1,0
277,10150723,1,1,0,1,1,1
278,10218181,1,0,1,0,0,0
279,10123992,0,1,0,1,1,1
280,10225650,0,1,1,1,1,1
281,10062606,1,0,1,1,1,0
282,10196667,0,0,0,1,1,0
283,10190646,0,0,0,1,1,0
284,10132567,1,0,1,1,1,0
285,10153591,1,0,1,1,1,0
286,10113657,1,1,1,1,1,1
287,10120325,1,0,0,1,1,0
288,10077932,1,1,1,1,1,1
289,10179851,1,1,1,1,1,1
290,10191539,0,1,1,1,1,1
291,10072172,0,0,0,1,1,0
